Assembly Accession	Organism Name	Organism Infraspecific Names Strain	Assembly Stats Total Sequence Length	Assembly Stats Contig N50	Assembly Stats GC Count	Assembly Stats GC Percent
GCA_019286295.1	Streptomyces albidoflavus	LGO-A23	7073859	556770	5189531	73.5
GCA_020521315.1	Streptomyces albidoflavus	NBRC 12854	7167927	5298185	5253946	73.5
GCA_023502165.1	Streptomyces albidoflavus	220	7310412	71800	5366168	73.5
GCA_024592655.1	Streptomyces albidoflavus	VIP_1	7021778	275236	5163197	73.5
GCA_025630915.1	Streptomyces albidoflavus	Q	6958433	425381	5115338	73.5
GCA_026339675.1	Streptomyces albidoflavus	NBC_01691	7344443	7088082	5378867	73
GCA_026339695.1	Streptomyces albidoflavus	NBC_01670	7309386	6923361	5354149	73.5
GCA_026635925.1	Streptomyces albidoflavus	J1074_D14	6341040	6341040	4643879	73
GCA_030345275.1	Streptomyces albidoflavus	MGMM6	6932303	6932303	5096533	73.5
GCA_034479045.1	Streptomyces albidoflavus	ATCC 23899	7131284	7131284	5227645	73.5
GCA_035955795.1	Streptomyces albidoflavus	NBC_01331	7288318	7078426	5339397	73.5
GCA_036238395.1	Streptomyces albidoflavus	NBC_01271	6978313	6978313	5122154	73.5
GCA_036239155.1	Streptomyces albidoflavus	NBC_01270	7015337	7015337	5148396	73.5
GCA_036247045.1	Streptomyces albidoflavus	NBC 01722	7036030	7036030	5162747	73.5
GCA_038242915.1	Streptomyces albidoflavus	RKJM-0023	7122485	7031575	5224694	73.5
GCA_038593545.1	Streptomyces albidoflavus	JAR6	7121650	394096	5237833	73.5
GCA_038662715.1	Streptomyces albidoflavus	SC-3	7102577	7102577	5207053	73.5
GCA_040297505.1	Streptomyces albidoflavus	NPDC001745	7079107	170938	5196719	73.5
GCA_040300205.1	Streptomyces albidoflavus	NPDC000493	7585051	69697	5536760	73
GCA_040300425.1	Streptomyces albidoflavus	NPDC000360	7017831	181318	5149502	73.5
GCA_040300445.1	Streptomyces albidoflavus	NPDC000394	7040025	180160	5171095	73.5
GCA_040302045.1	Streptomyces albidoflavus	NPDC000023	7199523	220129	5279381	73.5
GCA_040302805.1	Streptomyces albidoflavus	NPDC097099	6930587	45790	5054306	73
GCA_040303165.1	Streptomyces albidoflavus	NPDC096061	7149190	124078	5247245	73.5
GCA_040303845.1	Streptomyces albidoflavus	NPDC094052	7194292	179537	5277842	73.5
GCA_040606235.1	Streptomyces albidoflavus	NPDC005450	7028653	138916	5164759	73.5
GCA_040606265.1	Streptomyces albidoflavus	NPDC005441	7281075	154044	5354568	73.5
GCA_040606295.1	Streptomyces albidoflavus	NPDC005446	7037361	43819	5171388	73.5
GCA_040609275.1	Streptomyces albidoflavus	NPDC004694	6999418	679037	5142683	73.5
GCA_040609495.1	Streptomyces albidoflavus	NPDC004660	7028661	155743	5163696	73.5
GCA_040613135.1	Streptomyces albidoflavus	NPDC006311	6617275	5953	4839135	73
GCA_040613195.1	Streptomyces albidoflavus	NPDC006304	7213615	58515	5283309	73
GCA_040613215.1	Streptomyces albidoflavus	NPDC006300	7190438	31247	5278970	73.5
GCA_040628955.1	Streptomyces albidoflavus	NPDC006027	7128272	345972	5232620	73.5
GCA_040629865.1	Streptomyces albidoflavus	NPDC005868	6933280	51886	5100109	73.5
GCA_040630285.1	Streptomyces albidoflavus	NPDC005817	6976711	78069	5129733	73.5
GCA_040633095.1	Streptomyces albidoflavus	NPDC013402	7180939	182863	5261772	73.5
GCA_040633215.1	Streptomyces albidoflavus	NPDC013284	7140691	136705	5230337	73.5
GCA_040634315.1	Streptomyces albidoflavus	NPDC007115	7155732	145309	5256222	73.5
GCA_040634375.1	Streptomyces albidoflavus	NPDC007114	7311940	13219	5322166	73
GCA_040634615.1	Streptomyces albidoflavus	NPDC007079	7077363	82140	5166150	73
GCA_040634665.1	Streptomyces albidoflavus	NPDC007065	6972348	165267	5098489	73
GCA_040634755.1	Streptomyces albidoflavus	NPDC007058	7067323	182162	5162214	73
GCA_040634955.1	Streptomyces albidoflavus	NPDC007024	7134634	143984	5237282	73.5
GCA_040635305.1	Streptomyces albidoflavus	NPDC006977	7008974	201324	5125595	73
GCA_040635445.1	Streptomyces albidoflavus	NPDC006965	7059869	495903	5183201	73.5
GCA_040635525.1	Streptomyces albidoflavus	NPDC006953	7111161	213528	5201693	73
GCA_040635565.1	Streptomyces albidoflavus	NPDC006947	7294131	136814	5320610	73
GCA_040635865.1	Streptomyces albidoflavus	NPDC006834	6874442	151896	5033993	73
GCA_040635945.1	Streptomyces albidoflavus	NPDC006809	7073772	150230	5164159	73
GCA_040636535.1	Streptomyces albidoflavus	NPDC036225	7157462	160832	5257176	73.5
GCA_040637815.1	Streptomyces albidoflavus	NPDC028204	7081857	388009	5200202	73.5
GCA_040640855.1	Streptomyces albidoflavus	NPDC021591	7129142	264354	5218552	73
GCA_040641535.1	Streptomyces albidoflavus	NPDC020773	7388235	151758	5412291	73.5
GCA_040642355.1	Streptomyces albidoflavus	NPDC047859	7161291	261952	5260307	73.5
GCA_040644275.1	Streptomyces albidoflavus	NPDC046998	7026748	168213	5165915	73.5
GCA_040644335.1	Streptomyces albidoflavus	NPDC046987	7299993	212504	5356094	73.5
GCA_040644815.1	Streptomyces albidoflavus	NPDC007108	7243130	65837	5311021	73.5
GCA_040644835.1	Streptomyces albidoflavus	NPDC007082	7336097	144407	5352365	73
GCA_040646775.1	Streptomyces albidoflavus	NPDC045167	7009116	249870	5149933	73.5
GCA_040647175.1	Streptomyces albidoflavus	NPDC044138	7463300	201770	5469298	73.5
GCA_040677505.1	Streptomyces albidoflavus	NPDC053831	7308667	119370	5347694	73
GCA_040677795.1	Streptomyces albidoflavus	NPDC053738	7034899	83229	5167272	73.5
GCA_040677835.1	Streptomyces albidoflavus	NPDC053736	7041462	187753	5171351	73.5
GCA_040677855.1	Streptomyces albidoflavus	NPDC053732	7055559	177202	5183502	73.5
GCA_040678335.1	Streptomyces albidoflavus	NPDC052703	7194425	41446	5264962	73
GCA_040680315.1	Streptomyces albidoflavus	NPDC052085	7286525	209234	5337086	73.5
GCA_040681755.1	Streptomyces albidoflavus	NPDC051581	7118997	187137	5227128	73.5
GCA_040685675.1	Streptomyces albidoflavus	NPDC088199	7775562	77949	5687685	73
GCA_040685755.1	Streptomyces albidoflavus	NPDC088191	7029677	157537	5163517	73.5
GCA_040701785.1	Streptomyces albidoflavus	NPDC090300	7018237	301024	5156782	73.5
GCA_040701885.1	Streptomyces albidoflavus	NPDC088366	6904952	35263	5072597	73.5
GCA_040701985.1	Streptomyces albidoflavus	NPDC088200	7399592	124677	5423970	73.5
GCA_040702625.1	Streptomyces albidoflavus	NPDC078892	7187241	232345	5270125	73.5
GCA_040703575.1	Streptomyces albidoflavus	NPDC007091	7065480	134835	5189409	73.5
GCA_040703655.1	Streptomyces albidoflavus	NPDC007077	7048451	169966	5152998	73
GCA_040706455.1	Streptomyces albidoflavus	NPDC047995	7104621	286309	5213631	73.5
GCA_041435375.1	Streptomyces albidoflavus	NBC_01274	7193926	7177495	5274098	73.5
GCA_041438585.1	Streptomyces albidoflavus	NBC 01791	7216567	7025725	5290077	73.5
GCA_041438605.1	Streptomyces albidoflavus	NBC 01790	6972512	6970058	5095866	73
GCA_041438665.1	Streptomyces albidoflavus	NBC 01747	7209897	7184798	5285330	73.5
GCA_041438825.1	Streptomyces albidoflavus	NBC 01692	7184925	7159790	5271204	73.5
GCA_041438845.1	Streptomyces albidoflavus	NBC_01616	7362561	7347685	5395129	73.5
GCA_900171555.1	Streptomyces albidoflavus	R-53649	7004412	43278	5134826	73.5
GCA_947311705.1	Streptomyces albidoflavus	CCOS 2040	7136301	7047941	5234689	73.5
GCF_013870515.1	Streptomyces albidus (ex Kaewkla and Franco 2022)	CAP215	6657676	20451	4647600	70
GCA_013870515.1	Streptomyces albidus (ex Kaewkla and Franco 2022)	CAP215	6657676	20451	4647600	70
GCF_014645835.1	Streptomyces albiflavescens	CGMCC 4.7111	10892780	217414	7617493	70
GCA_014645835.1	Streptomyces albiflavescens	CGMCC 4.7111	10892780	217414	7617493	70
GCA_016103485.1	Streptomyces albiflaviniger	DSM 42598	10280844	3202	7244907	70.5
GCF_023701525.1	Streptomyces albipurpureus	CWNU-1	9365620	108799	6398433	68.5
GCA_023701525.1	Streptomyces albipurpureus	CWNU-1	9365620	108799	6398433	68.5
GCF_021228125.1	Streptomyces albireticuli	NRRL B1670	8564494	272279	6206592	72.5
GCF_002192455.1	Streptomyces albireticuli	MDJK11	8144417	8144417	5931006	73
GCF_002286695.1	Streptomyces albireticuli	NRRL B-1670	8454574	21466	6123108	72.5
GCF_021228115.1	Streptomyces albireticuli	NRRL B1670 type C	6939886	326674	5023544	72.5
GCF_021228305.1	Streptomyces albireticuli	NRRL B1670 type B	6916726	490438	5010882	72.5
GCA_002192455.1	Streptomyces albireticuli	MDJK11	8144417	8144417	5931006	73
GCA_002286695.1	Streptomyces albireticuli	NRRL B-1670	8454574	21466	6123108	72.5
GCA_021228115.1	Streptomyces albireticuli	NRRL B1670 type C	6939886	326674	5023544	72.5
GCA_021228125.1	Streptomyces albireticuli	NRRL B1670	8564494	272279	6206592	72.5
GCA_021228305.1	Streptomyces albireticuli	NRRL B1670 type B	6916726	490438	5010882	72.5
GCF_008634025.1	Streptomyces albofaciens JCM 4342	ATCC 23873	9252595	4757978	6691032	72.5
GCA_001315345.1	Streptomyces albofaciens JCM 4342	JCM 4342	4345664	1249	2988273	69
GCA_008634025.1	Streptomyces albofaciens JCM 4342	ATCC 23873	9252595	4757978	6691032	72.5
GCF_000716675.1	Streptomyces alboflavus	NRRL B-2373	9717375	134286	7013603	72
GCF_002189675.2	Streptomyces alboflavus	MDJK44	9967549	9622415	7176233	72
GCF_003935055.1	Streptomyces alboflavus	313	8916703	279686	6430641	72
GCA_000716675.1	Streptomyces alboflavus	NRRL B-2373	9717375	134286	7013603	72
GCA_002189675.2	Streptomyces alboflavus	MDJK44	9967549	9622415	7176233	72
GCA_003935055.1	Streptomyces alboflavus	313	8916703	279686	6430641	72
GCF_040678555.1	Streptomyces albogriseolus	NPDC052628	7521336	188577	5463813	72.5
GCF_014650475.1	Streptomyces albogriseolus	JCM 4616	8066392	288677	5835147	72.5
GCF_040609895.1	Streptomyces albogriseolus	NPDC004583	7037672	189519	5094030	72.5
GCF_040628415.1	Streptomyces albogriseolus	NPDC006578	7483645	36727	5422593	72.5
GCF_040628515.1	Streptomyces albogriseolus	NPDC006369	7896758	50046	5716279	72.5
GCF_040628875.1	Streptomyces albogriseolus	NPDC006040	7378567	17462	5366698	72.5
GCF_040628915.1	Streptomyces albogriseolus	NPDC006038	7587098	212712	5511950	72.5
GCF_040628935.1	Streptomyces albogriseolus	NPDC006039	7436772	289214	5403574	72.5
GCF_040628975.1	Streptomyces albogriseolus	NPDC005990	7754304	181485	5621222	72.5
GCF_040632035.1	Streptomyces albogriseolus	NPDC019732	8109508	220949	5870402	72.5
GCF_040637175.1	Streptomyces albogriseolus	NPDC031472	8108863	334763	5870682	72.5
GCF_040637255.1	Streptomyces albogriseolus	NPDC030493	7375776	346244	5361700	72.5
GCF_040647255.1	Streptomyces albogriseolus	NPDC042609	7794101	153283	5654632	72.5
GCF_040674155.1	Streptomyces albogriseolus	NPDC050252	7557688	287847	5486631	72.5
GCF_040678595.1	Streptomyces albogriseolus	NPDC052629	7481735	92519	5438114	72.5
GCF_041261465.1	Streptomyces albogriseolus	SAI-173	7480058	7148027	5431424	72.5
GCA_014650475.1	Streptomyces albogriseolus	JCM 4616	8066392	288677	5835147	72.5
GCA_024349185.1	Streptomyces albogriseolus	MRC002	7460658	7065610	5409921	72.5
GCA_040609895.1	Streptomyces albogriseolus	NPDC004583	7037672	189519	5094030	72.5
GCA_040628415.1	Streptomyces albogriseolus	NPDC006578	7483645	36727	5422593	72.5
GCA_040628515.1	Streptomyces albogriseolus	NPDC006369	7896758	50046	5716279	72.5
GCA_040628875.1	Streptomyces albogriseolus	NPDC006040	7378567	17462	5366698	72.5
GCA_040628915.1	Streptomyces albogriseolus	NPDC006038	7587098	212712	5511950	72.5
GCA_040628935.1	Streptomyces albogriseolus	NPDC006039	7436772	289214	5403574	72.5
GCA_040628975.1	Streptomyces albogriseolus	NPDC005990	7754304	181485	5621222	72.5
GCA_040632035.1	Streptomyces albogriseolus	NPDC019732	8109508	220949	5870402	72.5
GCA_040637175.1	Streptomyces albogriseolus	NPDC031472	8108863	334763	5870682	72.5
GCA_040637255.1	Streptomyces albogriseolus	NPDC030493	7375776	346244	5361700	72.5
GCA_040647255.1	Streptomyces albogriseolus	NPDC042609	7794101	153283	5654632	72.5
GCA_040674155.1	Streptomyces albogriseolus	NPDC050252	7557688	287847	5486631	72.5
GCA_040678555.1	Streptomyces albogriseolus	NPDC052628	7521336	188577	5463813	72.5
GCA_040678595.1	Streptomyces albogriseolus	NPDC052629	7481735	92519	5438114	72.5
GCA_041261465.1	Streptomyces albogriseolus	SAI-173	7480058	7148027	5431424	72.5
GCF_008704395.1	Streptomyces alboniger	ATCC 12461	7962786	7962786	5666382	71
GCF_001418385.1	Streptomyces alboniger	NRRL B-1832	7547388	23163	5362434	71
GCA_001418385.1	Streptomyces alboniger	NRRL B-1832	7547388	23163	5362434	71
GCA_008704395.1	Streptomyces alboniger	ATCC 12461	7962786	7962786	5666382	71
GCF_014648695.1	Streptomyces albospinus	JCM 3399	9206985	58161	6522255	71
GCA_014648695.1	Streptomyces albospinus	JCM 3399	9206985	58161	6522255	71
GCF_002150845.1	Streptomyces alboverticillatus	NRRL B-24281	7044380	18412	5068282	72
GCA_002150845.1	Streptomyces alboverticillatus	NRRL B-24281	7044380	18412	5068282	72
GCF_002154385.1	Streptomyces albovinaceus	NRRL B-2566	7237318	22344	5166780	71.5
GCA_002154385.1	Streptomyces albovinaceus	NRRL B-2566	7237318	22344	5166780	71.5
GCF_000716935.1	Streptomyces alboviridis	NRRL B-1579	8571085	264758	6106944	71.5
GCA_000716935.1	Streptomyces alboviridis	NRRL B-1579	8571085	264758	6106944	71.5
GCF_024752535.1	Streptomyces albus	DSM 40763	8033415	7889116	5833916	72.5
GCF_000813365.1	Streptomyces albus	NBRC 13014	7594511	128836	5518678	72.5
GCF_001418125.1	Streptomyces albus	NRRL B-1685	7375232	16752	5353624	72.5
GCF_001418505.1	Streptomyces albus	NRRL B-2465	7425953	18934	5383082	72.5
GCF_001418545.1	Streptomyces albus	NRRL B-1335	6963283	11416	5050923	72.5
GCF_001661615.1	Streptomyces albus	NRRL B-12378	7195882	14704	5220733	72.5
GCF_004768505.1	Streptomyces albus	DSM 40763	8106237	489196	5876986	72.5
GCF_011006355.1	Streptomyces albus	CAS922	8069210	8069210	5857697	72.5
GCF_030011775.1	Streptomyces albus	RC2	7847620	464302	5705429	72.5
GCF_030158795.1	Streptomyces albus	N11-50	8291284	2309506	6027100	72.5
GCF_040632725.1	Streptomyces albus	NPDC018339	8076999	208940	5864998	72.5
GCF_040634045.1	Streptomyces albus	NPDC007290	8353137	364668	6048095	72.5
GCF_040635935.1	Streptomyces albus	NPDC006791	7811704	239051	5683069	73
GCF_040704425.1	Streptomyces albus	NPDC047549	7950731	198953	5773934	72.5
GCA_000813365.1	Streptomyces albus	NBRC 13014	7594511	128836	5518678	72.5
GCA_001418125.1	Streptomyces albus	NRRL B-1685	7375232	16752	5353624	72.5
GCA_001418505.1	Streptomyces albus	NRRL B-2465	7425953	18934	5383082	72.5
GCA_001418545.1	Streptomyces albus	NRRL B-1335	6963283	11416	5050923	72.5
GCA_001661615.1	Streptomyces albus	NRRL B-12378	7195882	14704	5220733	72.5
GCA_004768505.1	Streptomyces albus	DSM 40763	8106237	489196	5876986	72.5
GCA_011006355.1	Streptomyces albus	CAS922	8069210	8069210	5857697	72.5
GCA_024582875.1	Streptomyces albus	INA 01303	6840896	6840896	4995362	73
GCA_024752535.1	Streptomyces albus	DSM 40763	8033415	7889116	5833916	72.5
GCA_030011775.1	Streptomyces albus	RC2	7847620	464302	5705429	72.5
GCA_030158795.1	Streptomyces albus	N11-50	8291284	2309506	6027100	72.5
GCA_040632725.1	Streptomyces albus	NPDC018339	8076999	208940	5864998	72.5
GCA_040634045.1	Streptomyces albus	NPDC007290	8353137	364668	6048095	72.5
GCA_040635935.1	Streptomyces albus	NPDC006791	7811704	239051	5683069	73
GCA_040704425.1	Streptomyces albus	NPDC047549	7950731	198953	5773934	72.5
GCF_000719865.1	Streptomyces albus subsp. albus	NRRL F-4971	6938318	218508	5079055	73
GCF_000720885.1	Streptomyces albus subsp. albus	NRRL B-2362	7845903	247558	5706411	72.5
GCF_000725885.1	Streptomyces albus subsp. albus	NRRL B-1811	7633340	245715	5552074	72.5
GCA_000719865.1	Streptomyces albus subsp. albus	NRRL F-4971	6938318	218508	5079055	73
GCA_000720885.1	Streptomyces albus subsp. albus	NRRL B-2362	7845903	247558	5706411	72.5
GCA_000725885.1	Streptomyces albus subsp. albus	NRRL B-1811	7633340	245715	5552074	72.5
GCF_013302895.1	Streptomyces albus subsp. chlorinus	NRRL B-24108	7613803	38528	5424217	72.5
GCA_013302895.1	Streptomyces albus subsp. chlorinus	NRRL B-24108	7613803	38528	5424217	72.5
GCF_018141485.1	Streptomyces alfalfae	XN-04	8278595	8254035	5965662	72
GCF_001975025.1	Streptomyces alfalfae	ACCC40021	8625867	8625867	6218703	72
GCF_004127445.1	Streptomyces alfalfae	XY25	8273342	283721	5975254	72
GCF_004212445.1	Streptomyces alfalfae	XY25	7928771	90629	5727174	72
GCF_016128295.1	Streptomyces alfalfae	Men-myco-93-63	8856609	8856609	6377293	72
GCA_001975025.1	Streptomyces alfalfae	ACCC40021	8625867	8625867	6218703	72
GCA_004127445.1	Streptomyces alfalfae	XY25	8273342	283721	5975254	72
GCA_004212445.1	Streptomyces alfalfae	XY25	7928771	90629	5727174	72
GCA_016128295.1	Streptomyces alfalfae	Men-myco-93-63	8856609	8856609	6377293	72
GCA_018141485.1	Streptomyces alfalfae	XN-04	8278595	8254035	5965662	72
GCF_014141535.1	Streptomyces alkaliphilus	DSM 42118	5761373	5021	4179256	72.5
GCF_007097665.2	Streptomyces alkaliphilus	IF17	5870448	5488	4250525	72.5
GCA_007097665.2	Streptomyces alkaliphilus	IF17	5870448	5488	4250525	72.5
GCA_014141535.1	Streptomyces alkaliphilus	DSM 42118	5761373	5021	4179256	72.5
GCF_013618545.1	Streptomyces alkaliterrae	OF8	6036367	26709	4346504	72
GCF_007097205.2	Streptomyces alkaliterrae	OF1	5999109	15903	4317498	72
GCF_013618515.1	Streptomyces alkaliterrae	OF3	5977613	15600	4306189	72
GCA_007097205.2	Streptomyces alkaliterrae	OF1	5999109	15903	4317498	72
GCA_013618515.1	Streptomyces alkaliterrae	OF3	5977613	15600	4306189	72
GCA_013618545.1	Streptomyces alkaliterrae	OF8	6036367	26709	4346504	72
GCF_040633575.1	Streptomyces althioticus	NPDC012687	7456160	222310	5412532	72.5
GCF_040298105.1	Streptomyces althioticus	NPDC001673	7520626	162247	5451042	72.5
GCF_040300005.1	Streptomyces althioticus	NPDC000569	7641163	194771	5540238	72.5
GCF_040300465.1	Streptomyces althioticus	NPDC000350	7350223	185167	5336613	72.5
GCF_040609175.1	Streptomyces althioticus	NPDC004741	7532781	159932	5462729	72.5
GCF_040629525.1	Streptomyces althioticus	NPDC005909	7523999	211784	5438090	72.5
GCF_040633295.1	Streptomyces althioticus	NPDC013098	7331384	142111	5317698	72.5
GCF_040633475.1	Streptomyces althioticus	NPDC012847	7422769	233389	5386203	72.5
GCF_040633725.1	Streptomyces althioticus	NPDC012406	7371627	168780	5350208	72.5
GCF_040640335.1	Streptomyces althioticus	NPDC022309	6718393	219386	4867242	72.5
GCF_040642115.1	Streptomyces althioticus	NPDC020357	7186035	34334	5204206	72.5
GCF_040653195.1	Streptomyces althioticus	NPDC048011	7383265	20371	5373012	73
GCF_040684215.1	Streptomyces althioticus	NPDC091975	8149546	87761	5888304	72.5
GCA_040298105.1	Streptomyces althioticus	NPDC001673	7520626	162247	5451042	72.5
GCA_040300005.1	Streptomyces althioticus	NPDC000569	7641163	194771	5540238	72.5
GCA_040300465.1	Streptomyces althioticus	NPDC000350	7350223	185167	5336613	72.5
GCA_040609175.1	Streptomyces althioticus	NPDC004741	7532781	159932	5462729	72.5
GCA_040629525.1	Streptomyces althioticus	NPDC005909	7523999	211784	5438090	72.5
GCA_040633295.1	Streptomyces althioticus	NPDC013098	7331384	142111	5317698	72.5
GCA_040633475.1	Streptomyces althioticus	NPDC012847	7422769	233389	5386203	72.5
GCA_040633575.1	Streptomyces althioticus	NPDC012687	7456160	222310	5412532	72.5
GCA_040633725.1	Streptomyces althioticus	NPDC012406	7371627	168780	5350208	72.5
GCA_040640335.1	Streptomyces althioticus	NPDC022309	6718393	219386	4867242	72.5
GCA_040642115.1	Streptomyces althioticus	NPDC020357	7186035	34334	5204206	72.5
GCA_040653195.1	Streptomyces althioticus	NPDC048011	7383265	20371	5373012	73
GCA_040684215.1	Streptomyces althioticus	NPDC091975	8149546	87761	5888304	72.5
GCA_003719395.1	Streptomyces altiplanensis	HST21	7924348	37351	5625079	71
GCF_039532665.1	Streptomyces amakusaensis	JCM 4167	8349877	379645	5996025	72
GCA_039532665.1	Streptomyces amakusaensis	JCM 4167	8349877	379645	5996025	72
GCF_001632865.1	Streptomyces ambofaciens	DSM 40697	8137876	8137876	5885846	72.5
GCA_001632865.1	Streptomyces ambofaciens	DSM 40697	8137876	8137876	5885846	72.5
GCF_001267885.1	Streptomyces ambofaciens ATCC 23877	ATCC 23877	8393598	8303940	6059158	72
GCA_001267885.1	Streptomyces ambofaciens ATCC 23877	ATCC 23877	8393598	8303940	6059158	72
GCF_001953875.1	Streptomyces amritsarensis	MTCC 11845	7816792	63430	5673731	72.5
GCA_001953875.1	Streptomyces amritsarensis	MTCC 11845	7816792	63430	5673731	72.5
GCF_014650655.1	Streptomyces anandii JCM 4720	JCM 4720	7932225	15391	5720642	72.5
GCA_001315445.1	Streptomyces anandii JCM 4720	JCM 4720	3673373	1296	2534823	69
GCA_014650655.1	Streptomyces anandii JCM 4720	JCM 4720	7932225	15391	5720642	72.5
GCF_019400875.1	Streptomyces anatolicus	BG9H	7259623	13615	5167294	71
GCA_019400875.1	Streptomyces anatolicus	BG9H	7259623	13615	5167294	71
GCF_019933235.1	Streptomyces angustmyceticus	JCM 4053	8116382	8116382	5862293	72
GCF_002154415.1	Streptomyces angustmyceticus	NRRL B-2347	7462466	14721	5376452	72
GCF_009176265.1	Streptomyces angustmyceticus	NBRC 3934	8128774	217454	5867996	72.5
